ID,Case Number,Date,Time,AM/PM,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats,Wards 2023-
13288516,JG517580,11/25/2023,11:00:00,PM,001XX W LAKE ST,560,ASSAULT,SIMPLE,CTA TRAIN,FALSE,FALSE,122,1,42,32,08A,2023,12/3/2023 15:41,41.88574103,-87.63171175,"(41.885741029, -87.631711749)",22,"14,309",38,92,36,42,22,79,42
13288474,JG517539,11/25/2023,10:29:00,PM,0000X E 98TH ST,430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,CTA BUS,FALSE,FALSE,511,5,9,49,04B,2023,12/3/2023 15:41,41.7163114,-87.6209248,"(41.716311396, -87.620924798)",31,"21,861",45,567,43,19,10,250,11
13288562,JG517577,11/25/2023,10:10:00,PM,004XX S WESTERN AVE,330,ROBBERY,AGGRAVATED,CTA TRAIN,TRUE,FALSE,1225,12,27,28,3,2023,1/29/2024 15:40,41.87542733,-87.68624832,"(41.875427326, -87.686248317)",48,"21,184",29,89,46,28,15,139,27
13290099,JG519603,11/25/2023,6:38:00,PM,005XX S KEDZIE AVE,330,ROBBERY,AGGRAVATED,CTA TRAIN,TRUE,FALSE,1134,11,24,27,3,2023,1/2/2024 15:41,41.8740601,-87.70592431,"(41.874060099, -87.705924314)",36,"21,572",28,765,14,30,16,140,24
13288393,JG517529,11/25/2023,4:00:00,PM,054XX S PRAIRIE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,CTA PARKING LOT / GARAGE / OTHER PROPERTY,FALSE,FALSE,231,2,3,40,7,2023,12/3/2023 15:41,41.7958583,-87.6192524,"(41.795858295, -87.619252404)",12,"21,192",7,401,9,10,24,125,8
13288129,JG517082,11/25/2023,2:23:00,PM,0000X W 95TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,CTA STATION,TRUE,FALSE,634,6,9,49,15,2023,12/3/2023 15:41,41.7216272,-87.62448518,"(41.721627204, -87.624485177)",18,"21,861",45,187,13,59,20,242,11
13288259,JG516994,11/25/2023,1:00:00,PM,040XX N BROADWAY,810,THEFT,OVER $500,CTA BUS,FALSE,FALSE,1915,19,46,3,6,2023,12/3/2023 15:41,41.95635501,-87.65169137,"(41.95635501, -87.65169137)",37,"21,186",31,577,39,53,5,5,46
13287803,JG516783,11/25/2023,9:54:00,AM,0000X W VAN BUREN ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,CTA STATION,TRUE,FALSE,113,1,4,32,11,2023,12/3/2023 15:41,41.87690915,-87.62842654,"(41.876909148, -87.628426538)",48,"14,913",38,92,10,35,22,126,9
13287580,JG516551,11/25/2023,2:20:00,AM,0000X W 69TH ST,320,ROBBERY,STRONG ARM - NO WEAPON,CTA TRAIN,FALSE,FALSE,731,7,6,69,3,2023,12/3/2023 15:41,41.76918549,-87.62573242,"(41.769185486, -87.625732415)",31,"22,260",67,513,32,11,17,201,4
13287050,JG515939,11/24/2023,1:35:00,PM,050XX S ARCHER AVE,560,ASSAULT,SIMPLE,CTA BUS,FALSE,FALSE,815,8,14,57,08A,2023,12/2/2023 15:41,41.80091463,-87.7284824,"(41.800914626, -87.7284824)",35,"22,248",54,637,8,56,13,105,14
13287044,JG515865,11/24/2023,12:28:00,PM,016XX W HOWARD ST,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA STATION,FALSE,FALSE,2422,24,49,1,14,2023,12/2/2023 15:41,42.01938364,-87.67281215,"(42.01938364, -87.672812148)",3,"21,853",10,489,5,9,11,32,49
13287161,JG516064,11/24/2023,11:25:00,AM,012XX W LOYOLA AVE,460,BATTERY,SIMPLE,CTA TRAIN,FALSE,FALSE,2432,24,49,1,08B,2023,12/2/2023 15:41,42.00106499,-87.66125447,"(42.001064985, -87.661254473)",3,"21,853",10,48,5,9,11,41,49
13287368,JG515915,11/24/2023,10:45:00,AM,016XX W BELMONT AVE,870,THEFT,POCKET-PICKING,CTA BUS,FALSE,FALSE,1931,19,32,6,6,2023,12/2/2023 15:41,41.93968829,-87.66929448,"(41.939688287, -87.669294481)",16,"4,449",57,742,18,22,5,19,32
13287410,JG516370,11/24/2023,3:15:00,AM,012XX N CLARK ST,320,ROBBERY,STRONG ARM - NO WEAPON,CTA TRAIN,FALSE,FALSE,1821,18,2,8,3,2023,12/2/2023 15:41,41.90437011,-87.63146007,"(41.904370109, -87.631460067)",22,"14,926",37,17,11,54,14,198,2
13292882,JG518921,11/24/2023,1:04:00,AM,028XX W PALMER ST,560,ASSAULT,SIMPLE,CTA TRAIN,FALSE,FALSE,1414,14,1,22,08A,2023,12/2/2023 15:41,41.92168763,-87.69767173,"(41.921687633, -87.697671731)",15,"22,535",23,322,41,1,7,182,1
13286591,JG515404,11/24/2023,12:10:00,AM,043XX S COTTAGE GROVE AVE,420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,CTA BUS,FALSE,FALSE,221,2,4,38,04B,2023,12/2/2023 15:41,41.81635893,-87.60670242,"(41.816358925, -87.606702419)",1,"4,301",4,161,10,36,24,114,9
13292141,JG521961,11/23/2023,7:30:00,PM,006XX S STATE ST,870,THEFT,POCKET-PICKING,CTA TRAIN,FALSE,FALSE,123,1,4,32,6,2023,12/1/2023 15:41,41.8744151,-87.62760944,"(41.8744151, -87.627609439)",48,"14,913",38,92,10,35,22,144,9
13294126,JG524311,11/23/2023,4:00:00,PM,079XX S EXCHANGE AVE,1220,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,CTA BUS,FALSE,FALSE,422,4,7,46,11,2023,12/3/2023 15:40,41.75145765,-87.55289252,"(41.751457646, -87.552892516)",43,"21,202",42,505,37,25,19,234,5
13286365,JG515190,11/23/2023,3:00:00,PM,001XX W LAKE ST,870,THEFT,POCKET-PICKING,CTA STATION,FALSE,FALSE,122,1,42,32,6,2023,12/1/2023 15:41,41.88574103,-87.63171175,"(41.885741029, -87.631711749)",22,"14,309",38,92,36,42,22,79,42
13290307,JG518817,11/23/2023,1:30:00,PM,033XX W BELMONT AVE,870,THEFT,POCKET-PICKING,CTA TRAIN,FALSE,FALSE,1412,14,35,21,6,2023,12/1/2023 15:41,41.93930054,-87.71179449,"(41.939300539, -87.711794487)",15,"21,538",22,138,12,39,1,23,35
13291454,JG520111,11/23/2023,8:00:00,AM,009XX W BELMONT AVE,820,THEFT,$500 AND UNDER,CTA TRAIN,FALSE,FALSE,1933,19,44,6,6,2023,12/1/2023 15:41,41.93991842,-87.65328888,"(41.93991842, -87.653288878)",38,"4,449",57,681,25,22,5,31,44
13293822,JG523819,11/23/2023,4:00:00,AM,008XX N STATE ST,1585,SEX OFFENSE,OTHER,CTA TRAIN,FALSE,FALSE,1832,18,42,8,17,2023,12/3/2023 15:40,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,"21,182",37,104,36,6,14,71,42
13285850,JG514641,11/23/2023,12:35:00,AM,127XX S HALSTED ST,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA BUS,FALSE,FALSE,523,5,9,53,14,2023,12/1/2023 15:41,41.66294403,-87.64141128,"(41.662944028, -87.641411276)",45,"21,861",50,7,22,27,10,218,11
