route,routename,Month_Beginning,Avg_Weekday_Rides,Avg_Saturday_Rides,Avg_Sunday-Holiday_Rides,MonthTotal
125,Water Tower Express,02/01/2001,"2,385",0,0,"47,699"
126,Jackson,02/01/2001,"10,761.9","4,884.7","2,817.7","246,048"
127,Madison/Roosevelt Circulator,02/01/2001,214.5,0,0,"4,290"
128,Soldier Field Express,02/01/2001,0,148.1,0,148
129,West Loop/South Loop,02/01/2001,811.5,0,0,"16,231"
135,Clarendon/LaSalle Express,02/01/2001,"2,703.5",0,0,"54,070"
136,Sheridan/LaSalle Express,02/01/2001,"1,958.3",0,0,"39,165"
145,Wilson/Michigan Express,02/01/2001,"8,682","3,798.2","2,024","196,929"
146,Inner Drive/Michigan Express,02/01/2001,"9,206.2","5,636.2","3,353.7","220,082"
147,Outer Drive Express,02/01/2001,"9,123","5,347.7",0,"203,852"
151,Sheridan,02/01/2001,"24,656.8","14,270","12,550","600,416"
152,Addison,02/01/2001,"11,210.9","4,164.6","2,243.2","249,850"
155,Devon,02/01/2001,"7,303","5,146.8","3,888","182,199"
156,LaSalle,02/01/2001,"9,112.3",0,0,"182,247"
157,Streeterville/Taylor,02/01/2001,"3,279",0,0,"65,581"
169,69th-UPS Express,02/01/2001,852.6,78,0,"17,365"
170,U. of Chicago/Midway,02/01/2001,287.9,0,0,"5,758"
171,U. of Chicago/Hyde Park,02/01/2001,918.1,271.3,320.2,"20,728"
172,U. of Chicago/Kenwood,02/01/2001,933.5,75.1,56.8,"19,198"
173,U. of Chicago/Lakeview Express,02/01/2001,252.5,493.9,169.4,"7,703"
201,Central/Ridge,02/01/2001,"1,314.6",559.2,341.8,"29,896"
202,Main/Emerson,02/01/2001,514.7,0,0,"10,294"
203,Ridge/Grant,02/01/2001,"1,823.8",0,0,"36,476"
204,Dodge,02/01/2001,"1,578.3",0,0,"31,565"
1,Indiana/Hyde Park,03/01/2001,"7,571.8",0,0,"166,579"
2,Hyde Park Express,03/01/2001,862,0,0,"18,964"
3,King Drive,03/01/2001,"23,081.6","14,786.6","8,979.5","617,646"
4,Cottage Grove,03/01/2001,"24,463.9","19,493.7","11,761.6","682,721"
6,Jackson Park Express,03/01/2001,"19,086.8","12,859.5","7,180.5","512,929"
7,Harrison,03/01/2001,"5,729.1",0,0,"126,040"
8,Halsted,03/01/2001,"20,442.8","13,256.7","9,257.3","553,054"
8A,South Halsted,03/01/2001,"3,286.8","2,914.5","1,586.4","93,228"
9,Ashland,03/01/2001,"31,563.9","23,909.9","16,119.4","878,433"
10,Museum of S & I,03/01/2001,0,974.8,534.1,"7,010"
11,Lincoln/Sedgwick,03/01/2001,"3,725.6","1,875.1","1,088.1","95,692"
12,Roosevelt,03/01/2001,"11,387.9","7,384.8","5,398.4","309,052"
14,Jeffery Express,03/01/2001,"9,540.6",0,0,"209,894"
17,Westchester,03/01/2001,578,0,0,"12,716"
18,16th/18th,03/01/2001,"1,717.8",979.8,710.8,"45,533"
19,United Center Express,03/01/2001,983.3,"2,112.2",644.9,"22,537"
20,Madison,03/01/2001,"22,559.6","14,278","8,496.7","601,687"
21,Cermak,03/01/2001,"7,861.8","8,240.3","5,852.5","237,571"
X21,Cermak Express,03/01/2001,0,"1,174",511.2,"7,915"
22,Clark,03/01/2001,"22,534.9","15,977.9","11,678","622,370"
24,Wentworth,03/01/2001,"4,669.2",0,0,"102,721"
25,West Cermak,03/01/2001,274.5,0,0,"6,040"
27,South Deering,03/01/2001,"6,091.2","3,486.8","2,549.1","161,636"
28,Stony Island,03/01/2001,"13,173.1","10,381.4","6,018","365,786"
29,State,03/01/2001,"17,732.8","13,083.9","9,137.5","492,091"
30,South Chicago,03/01/2001,"4,203.3","2,201.1",707.4,"106,308"
33,Mag Mile Express,03/01/2001,780.3,0,0,"17,166"
34,South Michigan,03/01/2001,"8,338","6,218.6","4,215.2","231,390"
35,35th,03/01/2001,"6,190.3","3,611.6","2,076.3","162,549"
36,Broadway,03/01/2001,"15,571.8","14,705.2","9,019.4","452,183"
37,Sedgwick,03/01/2001,"2,618.1",0,0,"57,598"
39,Pershing,03/01/2001,"2,255.8",0,0,"49,629"
43,43rd,03/01/2001,"1,308.1",722,368.7,"33,863"
44,Wallace-Racine,03/01/2001,"6,994.1","3,150.3","1,662.5","176,272"
47,47th,03/01/2001,"8,657.9","6,689.2","3,835.8","239,264"
48,South Damen,03/01/2001,"1,313.7",0,0,"28,902"
49,Western,03/01/2001,"24,336.2","20,586.9","12,524.6","688,429"
49A,South Western,03/01/2001,437,0,0,"9,614"
49B,North Western,03/01/2001,"5,150.2","3,373.9","2,091.2","138,538"
X49,Western Express,03/01/2001,"6,016.4",0,0,"132,360"
50,Damen,03/01/2001,"9,353.5","4,719.6","2,918.6","241,049"
51,51st,03/01/2001,"4,966.5","4,193.2","2,092.8","138,600"
52,Kedzie/California,03/01/2001,"12,226.5","9,252.4","5,549.4","337,442"
52A,South Kedzie,03/01/2001,"6,445.2","3,810.1","2,187.6","169,595"
53,Pulaski,03/01/2001,"22,336.2","16,071.4","10,142.3","612,322"
53A,South Pulaski,03/01/2001,"9,781.8","3,558.8","1,672.9","239,686"
54,Cicero,03/01/2001,"12,638.4","10,284.9","6,537.4","355,619"
54A,North Cicero/Skokie Blvd.,03/01/2001,"1,444.6",0,0,"31,781"
54B,South Cicero,03/01/2001,"5,084.5","5,160.6","2,753.9","148,677"
55,Garfield,03/01/2001,"13,365","9,828.9","7,085","371,515"
55N,55th/Narragansett,03/01/2001,"1,138.3",165.4,0,"25,869"
56,Milwaukee,03/01/2001,"15,492.3","10,097.6","7,307.1","420,547"
56A,North Milwaukee,03/01/2001,633.7,0,0,"13,941"
57,Laramie,03/01/2001,"3,156.4","1,646.9",684.9,"80,416"
59,59th/61st,03/01/2001,"4,569","2,336.7",0,"112,201"
60,Blue Island/26th,03/01/2001,"14,751.9","10,674.1","6,835.8","405,256"
62,Archer,03/01/2001,"15,564.3","8,070.4","4,971.4","402,652"
62H,Archer/Harlem,03/01/2001,"1,454",708.1,0,"35,528"
63,63rd,03/01/2001,"22,720.8","17,745.8","11,882.2","636,114"
63W,West 63rd,03/01/2001,"2,323.6",753.2,427.3,"56,594"
64,Foster-Canfield,03/01/2001,268.7,0,0,"5,912"
65,Grand,03/01/2001,"7,000.3","3,692.4","1,957.5","180,298"
66,Chicago,03/01/2001,"21,182.7","13,293.3","8,251.7","565,492"
67,67th-69th-71st,03/01/2001,"14,908.6","10,345.6","6,832.9","407,048"
68,Northwest Highway,03/01/2001,"1,681.2",726.9,274.5,"41,719"
69,Cumberland/East River,03/01/2001,442.4,0,0,"9,733"
70,Division,03/01/2001,"11,037.6","7,872.4","5,414","303,846"
71,71st/South Shore,03/01/2001,"7,310.8","5,808.5","3,438.3","203,634"
72,North,03/01/2001,"16,133.3","11,415.2","7,688.1","442,762"
73,Armitage,03/01/2001,"5,324.8","2,501.6","1,403.9","135,270"
74,Fullerton,03/01/2001,"13,118.1","11,041.7","6,419.1","369,482"
75,74th-75th,03/01/2001,"7,320.5","5,306.7","3,294.7","200,764"
76,Diversey,03/01/2001,"14,294","8,627.8","5,705.8","380,431"
77,Belmont,03/01/2001,"20,926.5","14,095.9","9,080.3","567,184"
78,Montrose,03/01/2001,"9,481","6,177.6","3,608.6","253,905"
79,79th,03/01/2001,"31,981.4","26,330.6","17,012.3","903,294"
80,Irving Park,03/01/2001,"12,315.9","8,866.3","6,234.8","340,221"
81,Lawrence,03/01/2001,"15,298.6","12,536.9","8,143.2","431,828"
81W,West Lawrence,03/01/2001,"1,507.6","1,025.1",437.3,"40,042"
82,Kimball-Homan,03/01/2001,"21,323.3","13,335.5","7,651.3","566,396"
84,Peterson,03/01/2001,"4,466.4","2,343.3","1,167.5","114,648"
85,Central,03/01/2001,"13,872.6","8,535.9","5,214.9","368,735"
85A,North Central,03/01/2001,853.5,86.5,0,"19,209"
86,Narragansett/Ridgeland,03/01/2001,"1,971.1",0,0,"43,364"
87,87th,03/01/2001,"17,093.7","10,971.7","5,650","453,521"
88,Higgins,03/01/2001,"1,796.8",748.5,443.7,"45,048"
90,Harlem,03/01/2001,"3,958.2","3,083.3","1,618.7","108,971"
90N,North Harlem,03/01/2001,309.9,157.2,0,"7,604"
91,Austin,03/01/2001,"8,666","4,707","2,729.2","225,103"
92,Foster,03/01/2001,"7,906.6","4,398.3","2,606.7","206,363"
93,California/Dodge,03/01/2001,"2,351.2","1,194.8",0,"57,701"
94,South California,03/01/2001,"10,912","5,038.8","3,106.5","277,684"
95E,93rd-95th,03/01/2001,"5,881.4","4,963.7","3,213.3","167,062"
95W,West 95th,03/01/2001,"5,292","5,492.3","3,095.5","156,267"
96,Lunt,03/01/2001,"1,293.1",0,0,"28,449"
97,Skokie,03/01/2001,"3,701.9","2,284.9","1,369.2","98,343"
100,Jeffery Manor Express,03/01/2001,"1,256.2",0,0,"27,636"
103,West 103rd,03/01/2001,"3,883.1","1,681.2","1,196","98,619"
106,East 103rd,03/01/2001,"2,358.1",798.5,462.8,"57,722"
108,Halsted/95th,03/01/2001,"3,194.8",0,0,"70,285"
111,Pullman/111th/115th,03/01/2001,"6,336","3,802.9","2,448.9","168,202"
112,Vincennes/111th,03/01/2001,"4,067.3","1,496.5",922.7,"100,654"
119,Michigan/119th,03/01/2001,"5,394.1","5,124","2,933.8","156,025"
120,Ogilvie/Wacker Express,03/01/2001,837.4,0,0,"18,423"
121,Union/Wacker Express,03/01/2001,"1,521.5",0,0,"33,473"
122,Illinois Center/Ogilvie Express,03/01/2001,"1,092.6",0,0,"24,038"
123,Illinois Center/Union Express,03/01/2001,750.8,0,0,"16,518"
124,Navy Pier,03/01/2001,0,860.9,569.2,"2,860"
125,Water Tower Express,03/01/2001,"2,221.2",0,0,"48,866"
126,Jackson,03/01/2001,"11,114.2","5,090.4","3,046.4","282,150"
127,Madison/Roosevelt Circulator,03/01/2001,181.7,0,0,"3,997"
128,Soldier Field Express,03/01/2001,0,0,167.1,501
129,West Loop/South Loop,03/01/2001,820.5,0,0,"18,050"
